Item,Value,Dim.,Type,Date
VARIABLE,delta_m_Energy,96,CDF_REAL4,FALSE
CATDESC,Delta,minus,energy,bins
FIELDNAM,delta_m_Energy,,,
FILLVAL,-1.00E+31,,,
FORMAT,E12.2,,,
LABLAXIS,Delta minus energy,,,
SCALETYP,linear,,,
UNITS eV,,,,
VALIDMAX,40000,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,Azimuth,11,CDF_REAL4,FALSE
CATDESC,Center of CEM bins (azimuth),,,
DELTA_PLUS_VAR,delta_Azimuth,,,
DELTA_MINUS_VAR,delta_Azimuth,,,
FIELDNAM,Azimuth,,,
FILLVAL,-1.00E+31,,,
FORMAT,E12.2,,,
LABLAXIS,Azimuth (CEM),,,
SCALETYP,linear,,,
UNITS,deg,,,
VALIDMAX,90,,,
VALIDMIN,-90,,,
VAR_TYPE,support_data,,,
VARIABLE,Elevation,9,CDF_REAL4,FALSE
CATDESC,Center of elevation bins,,,
DELTA_PLUS_VAR,delta_Elevation,,,
DELTA_MINUS_VAR,delta_Elevation,,,
FIELDNAM,Elevation,,,
FILLVAL,-1.00E+31,,,
FORMAT,E12.2,,,
LABLAXIS,Elevation,,,
SCALETYP,linear,,,
UNITS,deg,,,
VALIDMAX,45,,,
VALIDMIN,-45,,,
VAR_TYPE,support_data,,,
VARIABLE,delta_Azimuth,11,CDF_REAL4,FALSE
CATDESC,Delta Azimuth (CEM),,,
FIELDNAM,delta_Azimuth,,,
FILLVAL,-1.00E+31,,,
FORMAT,E12.2,,,
LABLAXIS,Delta Azimuth,,,
SCALETYP,linear,,,
UNITS,deg,,,
VALIDMAX,45,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,delta_Elevation,9,CDF_REAL4,FALSE
CATDESC,Delta elevation table,,,
FIELDNAM,delta_Elevation,,,
FILLVAL,-1.00E+31,,,
FORMAT,E12.2,,,
LABLAXIS,Delta elevation,,,
SCALETYP,linear,,,
UNITS,deg,,,
VALIDMAX,45,,,
VALIDMIN,-45,,,
VAR_TYPE,support_data,,,
VARIABLE,Full_azimuth,11x9,CDF_REAL4,FALSE
CATDESC,Full definition azimuth table,,,
FIELDNAM,Full_azimuth,,,
FILLVAL,-1.00E+31,,,
FORMAT,E10,,,
LABLAXIS,Full Azimuth,,,
SCALETYP,linear,,,
UNITS,None,,,
VALIDMAX,-180,,,
VALIDMIN,180,,,
VAR_TYPE,support_data,,,
VARIABLE,Full_elevation,11x9,CDF_REAL4,FALSE
CATDESC,Full definition elevation table ,,,
FIELDNAM,Full_elevation,,,
FILLVAL,-1.00E+31,,,
FORMAT,E10,,,
LABLAXIS,FULL_EL_TABLE,,,
SCALETYP,linear,,,
UNITS,deg,,,
VALIDMAX,-90,,,
VALIDMIN,90,,,
VAR_TYPE,support_data,,,
VARIABLE,Elevation_correction,96,CDF_REAL4,FALSE
CATDESC,Elevation correction for each energy,,,
FIELDNAM,Elevation_correction,,,
FILLVAL,-1.00E+31,,,
FORMAT,E10,,,
UNITS,deg,,,
VALIDMAX,10,,,
VALIDMIN,-10,,,
VAR_TYPE,support_data,,,
